test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
0.925,0.9254,1045.0,0.1,0.0001852371692068,16.028533697128296
0.945,0.9454,887.0,0.1,0.0001642924251596,15.25082015991211
0.93,0.9302,825.0,0.1,0.0001735200849795,15.884499549865724
0.93,0.93,816.0,0.1,0.0001727059689799,15.490628480911257
0.935,0.9354,923.0,0.1,0.0001733378189814,15.386636734008787
0.92,0.9202,979.0,0.1,0.0001795131761768,15.738196849822998
0.945,0.9461,872.0,0.1,0.0001824192062443,16.453145265579224
0.935,0.935,848.0,0.1,0.0001759933833336,16.013185024261475
0.935,0.9361,928.0,0.1,0.0001746565630161,15.598862171173096
0.935,0.9386,866.0,0.1,0.0001768045987949,16.380269289016724
0.925,0.9261,804.0,0.1,0.0001713396552751,15.946114540100098
0.925,0.9261,786.0,0.1,0.0001763044065875,15.89268922805786
0.915,0.917,801.0,0.1,0.0001856743777045,16.364280462265015
0.945,0.945,947.0,0.1,0.0001682683745748,14.930356979370115
0.92,0.9215,735.0,0.1,0.0001701136566254,15.02701997756958
0.935,0.9361,1007.0,0.1,0.0001659963979283,15.06953740119934
0.9,0.9002,803.0,0.1,0.0001698228809114,15.65349268913269
0.935,0.935,866.0,0.1,0.0001693743327837,15.69486689567566
0.955,0.9554,864.0,0.1,0.0001688706180171,15.6847505569458
0.935,0.935,940.0,0.1,0.0003672355842586,17.635279655456543
0.925,0.925,930.0,0.1,0.0003760283647108,18.211628198623657
0.935,0.935,781.0,0.1,0.0003609709043277,17.201911449432373
0.93,0.93,928.0,0.1,0.0003845677241596,17.450319051742554
0.94,0.9407,1090.0,0.1,0.0003860256460182,17.624131202697754
0.92,0.9207,707.0,0.1,0.0003680226531476,16.979228496551514
0.935,0.935,1054.0,0.1,0.0003822713829552,17.334202527999878
0.915,0.916,925.0,0.1,0.0003604956954036,17.64474630355835
0.95,0.9516,917.0,0.1,0.0001742602771605,15.382420539855955
0.9,0.9014,800.0,0.1,0.0001673837613987,15.395912408828735
