test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
0.7619,0.7682,2000.0,0.0,8.941462500623557e-07,0.0907702445983886
0.7,0.7172,2000.0,0.0,9.18468375440741e-07,0.0902299880981445
0.7143,0.7692,2000.0,0.0,8.196120118764298e-07,0.0888690948486328
0.619,0.6389,2000.0,0.0,6.872463476518707e-07,0.0869116783142089
0.85,0.8333,2000.0,0.0,7.672894426780479e-07,0.0893459320068359
0.5714,0.5972,2000.0,0.0,9.827297920532877e-07,0.0861701965332031
0.5238,0.6188,2000.0,0.0,6.04263410417668e-07,0.0904207229614257
0.85,0.8452,2000.0,0.0,8.132315060918934e-07,0.0914082527160644
0.8571,0.85,2000.0,0.0,3.382474867096501e-07,0.0890941619873046
0.6667,0.6528,2000.0,0.0,3.9134801416469e-07,0.0887489318847656
0.7,0.7692,2000.0,0.0,1.001234872892706e-06,0.0937628746032714
0.5714,0.7188,2000.0,0.0,9.51433457805414e-07,0.0888545513153076
0.8095,0.8045,2000.0,0.0,3.3841040726254974e-07,0.0891339778900146
0.75,0.75,2000.0,0.0,5.692486844086102e-07,0.0924577713012695
0.7619,0.7545,2000.0,0.0,7.354495853627582e-07,0.0884234905242919
0.7619,0.7682,2000.0,0.0,3.409621647782363e-07,0.0898065567016601
0.6,0.6593,2000.0,0.0,6.365721695560719e-07,0.087984561920166
0.8571,0.85,2000.0,0.0,8.541893575181274e-07,0.0856845378875732
0.7143,0.7,2000.0,0.0,9.455244941318725e-07,0.086259126663208
0.75,0.75,2000.0,0.0,6.527718520097333e-07,0.0919737815856933
0.7619,0.7356,2000.0,0.0,7.407655345572543e-07,0.0901350975036621
0.7619,0.75,2000.0,0.0,6.790519742812571e-07,0.0890891551971435
0.65,0.625,2000.0,0.0,8.22668056046547e-07,0.0960516929626464
0.5714,0.5972,2000.0,0.0,7.697086528483891e-07,0.0846083164215087
0.8095,0.8045,2000.0,0.0,4.7267863999976157e-07,0.0900673866271972
0.75,0.7917,2000.0,0.0,5.665615255802106e-07,0.0886027812957763
0.7143,0.7692,2000.0,0.0,9.954623443815185e-07,0.0859622955322265
0.7143,0.7361,2000.0,0.0,3.218182167709844e-07,0.084784984588623
0.75,0.7917,2000.0,0.0,3.392325931317717e-07,0.0893445014953613
