test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
0.7143,0.7857,2000.0,0.0,8.662251154984577e-07,0.0904397964477539
0.75,0.7262,2000.0,0.0,4.427733360990064e-07,0.0922167301177978
0.7619,0.7917,2000.0,0.0,7.895944537482659e-07,0.0900120735168457
0.619,0.5962,2000.0,0.0,1.0397856394210856e-06,0.0899019241333007
0.8,0.8,2000.0,0.0,7.3298676945963e-07,0.0921583175659179
0.5238,0.4643,2000.0,0.0,8.479259745797168e-07,0.0909419059753418
0.8095,0.8333,2000.0,0.0,9.31097430715348e-07,0.0902745723724365
0.75,0.75,2000.0,0.0,5.129566901379629e-07,0.0936422348022461
0.619,0.6683,2000.0,0.0,7.962931677016158e-07,0.0913279056549072
0.7619,0.75,2000.0,0.0,3.417837305872364e-07,0.0900070667266845
0.65,0.65,2000.0,0.0,4.942183351707397e-07,0.0920863151550293
0.7619,0.7917,2000.0,0.0,9.610697312747593e-07,0.0895819664001464
0.6667,0.6528,2000.0,0.0,5.616417149570979e-07,0.0875453948974609
0.9,0.9333,2000.0,0.0,3.43552565484242e-07,0.0904920101165771
0.9048,0.8889,2000.0,0.0,6.725592300373276e-07,0.0878608226776123
0.7143,0.7857,2000.0,0.0,1.007218084739495e-06,0.0897357463836669
0.55,0.5833,2000.0,0.0,6.286243999605451e-07,0.0923819541931152
0.7619,0.7356,2000.0,0.0,8.652301116538788e-07,0.0934703350067138
0.6667,0.7667,2000.0,0.0,3.372760683631508e-07,0.0888354778289794
0.7,0.7172,2000.0,0.0,9.89104387719692e-07,0.0940566062927246
0.8571,0.85,2000.0,0.0,8.795786904204713e-07,0.0892844200134277
0.619,0.75,2000.0,0.0,3.706987186351188e-07,0.0915381908416748
0.55,0.631,2000.0,0.0,7.326110233396439e-07,0.0917215347290039
0.619,0.6683,2000.0,0.0,3.886990724481122e-07,0.0930924415588378
0.7619,0.75,2000.0,0.0,7.705868548037973e-07,0.0925624370574951
0.7,0.7172,2000.0,0.0,3.491149776277488e-07,0.0919291973114013
0.8095,0.8182,2000.0,0.0,6.006033102567105e-07,0.09002685546875
0.8571,0.8472,2000.0,0.0,2.0053584567654327e-06,0.2019641399383545
0.65,0.65,2000.0,0.0,3.8704827748451726e-07,0.0930454730987548
