test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
0.9333,0.9444,1530.0,0.2,0.00022964187437,20.493403434753414
0.9333,0.9375,1244.0,0.2,0.000234796199581,20.65160322189331
0.8667,0.8661,1425.0,0.2,0.0002238529794327,20.272012948989868
0.8667,0.8661,1453.0,0.2,0.0002229949287047,20.39244151115417
1.0,1.0,1392.0,0.2,0.0002229700603206,20.36416959762573
0.8667,0.9,1646.0,0.2,0.0002234970628945,20.350887298583984
0.8667,0.8661,1368.0,0.2,0.0002272293401615,20.405001878738403
0.9333,0.9444,1399.0,0.2,0.0002209915599118,20.35815954208374
0.9333,0.9375,1378.0,0.2,0.0002235007057973,20.370357990264893
0.9333,0.9375,1484.0,0.2,0.0002279263454639,20.53887963294983
0.9333,0.9444,1610.0,0.2,0.0002265409396904,20.34416484832764
0.8,0.8636,1465.0,0.2,0.00023594616311,21.147520780563354
1.0,1.0,1530.0,0.2,0.0002301456609332,20.52705407142639
1.0,1.0,1398.0,0.2,0.0002336180358026,20.85448431968689
1.0,1.0,1395.0,0.2,0.0002254548704071,20.238409757614136
0.9333,0.9375,1572.0,0.2,0.0002220558083623,19.96099138259888
0.9333,0.9375,1291.0,0.2,0.0002175855337299,19.908583402633667
0.8667,0.9,1652.0,0.2,0.0002253187632333,19.94195055961609
0.7333,0.75,1473.0,0.2,0.0002194644148389,19.93311190605164
0.9333,0.9444,1424.0,0.2,0.0002166912572036,19.894752264022827
0.9333,0.9444,1319.0,0.2,0.0002169047771331,19.917651414871216
1.0,1.0,1600.0,0.2,0.0002234131734943,19.9600510597229
0.9333,0.9375,1414.0,0.2,0.0002230239214276,19.920300722122192
1.0,1.0,1499.0,0.2,0.000227021673935,20.07113552093506
0.9333,0.9375,1281.0,0.2,0.0002334887836098,21.122779369354248
0.9333,0.9375,1805.0,0.2,0.0002292277375894,20.490774631500244
0.8,0.85,1373.0,0.2,0.0002221960118325,19.899171590805054
0.9333,0.9444,1326.0,0.2,0.0002325146957886,20.905672550201416
1.0,1.0,1374.0,0.2,0.0002248523726445,19.89831686019897
