test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
0.6667,0.7667,2000.0,0.0,-1.0,0.10731768608093262
0.6,0.7333,2000.0,0.0,-1.0,0.11135697364807129
0.7619,0.7917,2000.0,0.0,-1.0,0.10736846923828125
0.7619,0.7682,2000.0,0.0,-1.0,0.10760784149169922
0.7,0.7692,2000.0,0.0,-1.0,0.1099247932434082
0.619,0.6273,2000.0,0.0,-1.0,0.10753297805786133
0.5714,0.7353,2000.0,0.0,-1.0,0.10749387741088867
0.9,0.8901,2000.0,0.0,-1.0,0.10990691184997559
0.8095,0.8182,2000.0,0.0,-1.0,0.10731077194213867
0.7143,0.7091,2000.0,0.0,-1.0,0.10718297958374023
0.65,0.6875,2000.0,0.0,-1.0,0.1102762222290039
0.5714,0.7188,2000.0,0.0,-1.0,0.10711097717285156
0.7619,0.75,2000.0,0.0,-1.0,0.1076502799987793
0.65,0.6071,2000.0,0.0,-1.0,0.11218857765197754
0.8095,0.7917,2000.0,0.0,-1.0,0.10817837715148926
0.8095,0.8045,2000.0,0.0,-1.0,0.1087651252746582
0.7,0.6869,2000.0,0.0,-1.0,0.11146998405456543
0.8571,0.8365,2000.0,0.0,-1.0,0.10920166969299316
0.619,0.5962,2000.0,0.0,-1.0,0.10816717147827148
0.6,0.7333,2000.0,0.0,-1.0,0.11151647567749023
0.7619,0.7356,2000.0,0.0,-1.0,0.10921120643615723
0.7143,0.6971,2000.0,0.0,-1.0,0.10821080207824707
0.5,0.6,2000.0,0.0,-1.0,0.11078524589538574
0.7619,0.7917,2000.0,0.0,-1.0,0.1073617935180664
0.7619,0.8077,2000.0,0.0,-1.0,0.10769844055175781
0.85,0.8333,2000.0,0.0,-1.0,0.11031270027160645
0.7619,0.7356,2000.0,0.0,-1.0,0.1072227954864502
0.6667,0.7667,2000.0,0.0,-1.0,0.10715746879577637
0.9,0.8901,2000.0,0.0,-1.0,0.1118779182434082
0.7619,0.7545,2000.0,0.0,-1.0,0.10764169692993164
0.619,0.6786,2000.0,0.0,-1.0,0.10711383819580078
0.7,0.7692,2000.0,0.0,-1.0,0.11059951782226562
0.7619,0.7333,2000.0,0.0,-1.0,0.10829854011535645
0.6667,0.6528,2000.0,0.0,-1.0,0.10918879508972168
0.6,0.6593,2000.0,0.0,-1.0,0.1116936206817627
0.7619,0.7333,2000.0,0.0,-1.0,0.1096193790435791
0.619,0.5962,2000.0,0.0,-1.0,0.10984563827514648
0.9,0.8889,2000.0,0.0,-1.0,0.10955357551574707
0.619,0.5714,2000.0,0.0,-1.0,0.10751485824584961
0.619,0.6389,2000.0,0.0,-1.0,0.10914897918701172
0.5,0.6,2000.0,0.0,-1.0,0.11167192459106445
0.7619,0.7333,2000.0,0.0,-1.0,0.1084897518157959
0.9048,0.899,2000.0,0.0,-1.0,0.1081399917602539
0.65,0.6875,2000.0,0.0,-1.0,0.11056637763977051
