test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
0.8571,0.8472,100.0,0.4,-1.0,49.26384210586548
0.9,0.8901,100.0,0.4,-1.0,40.927265882492065
0.8095,0.7857,99.0,0.4,-1.0,41.19662117958069
0.8095,0.7981,100.0,0.4,-1.0,38.50554060935974
0.95,0.9643,100.0,0.4,-1.0,46.162391662597656
0.8095,0.7857,99.0,0.4,-1.0,45.071839332580566
0.8095,0.8045,100.0,0.4,-1.0,43.711315393447876
0.85,0.8333,100.0,0.4,-1.0,37.06082534790039
0.8571,0.85,100.0,0.4,-1.0,43.878363609313965
0.8095,0.8167,100.0,0.4,-1.0,51.48810911178589
0.8,0.7879,100.0,0.4,-1.0,38.65136694908142
0.7619,0.7917,100.0,0.4,-1.0,42.97416687011719
0.8571,0.8571,100.0,0.4,-1.0,51.28671407699585
0.85,0.8452,100.0,0.4,-1.0,44.757349491119385
0.8571,0.8365,100.0,0.4,-1.0,42.850494146347046
0.9048,0.9,100.0,0.4,-1.0,47.838420152664185
0.85,0.8452,100.0,0.4,-1.0,36.89500832557678
0.8095,0.8062,100.0,0.4,-1.0,48.923909425735474
0.8095,0.8045,99.0,0.4,-1.0,34.42016673088074
0.8,0.8182,100.0,0.4,-1.0,43.94290900230408
0.8571,0.85,100.0,0.4,-1.0,41.65298080444336
1.0,1.0,100.0,0.4,-1.0,44.28753638267517
0.75,0.7262,99.0,0.4,-1.0,41.9312469959259
0.7143,0.6944,100.0,0.4,-1.0,43.847145795822144
0.8571,0.8571,100.0,0.4,-1.0,50.871726989746094
0.85,0.8333,100.0,0.4,-1.0,40.21131420135498
0.8571,0.8365,99.0,0.4,-1.0,52.55204367637634
0.8095,0.7981,100.0,0.4,-1.0,40.8088800907135
0.8,0.7802,100.0,0.4,-1.0,39.41536593437195
0.8571,0.9118,100.0,0.4,-1.0,40.04460883140564
0.8095,0.8045,100.0,0.4,-1.0,45.703725814819336
0.75,0.7292,100.0,0.4,-1.0,46.611740589141846
0.8571,0.85,100.0,0.4,-1.0,46.294981241226196
0.7619,0.75,100.0,0.4,-1.0,40.74198865890503
0.9,0.8889,100.0,0.4,-1.0,42.45870637893677
0.8571,0.85,100.0,0.4,-1.0,44.03343725204468
0.7143,0.6971,100.0,0.4,-1.0,41.99871230125427
0.75,0.75,100.0,0.4,-1.0,44.040470600128174
0.7619,0.7333,100.0,0.4,-1.0,48.56967496871948
0.9048,0.9,100.0,0.4,-1.0,40.37314510345459
0.85,0.8333,100.0,0.4,-1.0,41.992523193359375
0.7619,0.7333,100.0,0.4,-1.0,47.352762937545776
0.8571,0.8571,99.0,0.4,-1.0,39.40584683418274
0.8,0.8182,100.0,0.4,-1.0,43.461731910705566
