test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
0.9503,0.9503,162.0,0.1,-1.0,23.489927530288696
0.9516,0.9516,152.0,0.1,-1.0,23.420879125595093
0.955,0.9552,168.0,0.1,-1.0,23.51595425605774
0.9383,0.9387,151.0,0.1,-1.0,23.59958529472351
0.958,0.958,184.0,0.1,-1.0,23.400521516799927
0.9559,0.956,171.0,0.1,-1.0,23.230488538742065
0.949,0.9493,181.0,0.1,-1.0,23.45642328262329
0.9559,0.9559,169.0,0.1,-1.0,23.237982034683228
0.952,0.9521,163.0,0.1,-1.0,23.3171603679657
0.9451,0.9453,166.0,0.1,-1.0,23.22271418571472
0.9554,0.9554,165.0,0.1,-1.0,23.239213466644287
0.9512,0.9513,182.0,0.1,-1.0,23.105706691741943
0.9516,0.9518,178.0,0.1,-1.0,23.236640691757202
0.9456,0.9456,167.0,0.1,-1.0,23.3412606716156
0.955,0.9551,173.0,0.1,-1.0,23.301276922225952
0.9481,0.9482,168.0,0.1,-1.0,23.272809982299805
0.955,0.9553,178.0,0.1,-1.0,23.20593547821045
0.9542,0.9542,161.0,0.1,-1.0,23.15053105354309
0.9524,0.9525,192.0,0.1,-1.0,23.238271236419678
0.9559,0.9559,163.0,0.1,-1.0,23.514878273010254
0.9576,0.9577,188.0,0.1,-1.0,23.435760498046875
0.9473,0.9474,150.0,0.1,-1.0,23.488932847976685
0.9576,0.9576,196.0,0.1,-1.0,23.26370096206665
0.9567,0.9571,178.0,0.1,-1.0,23.138325214385986
0.9516,0.9516,212.0,0.1,-1.0,23.201879262924194
0.9507,0.9509,171.0,0.1,-1.0,23.226476669311523
0.9469,0.947,180.0,0.1,-1.0,23.399829626083374
0.9571,0.9571,204.0,0.1,-1.0,23.47446298599243
0.9554,0.9556,179.0,0.1,-1.0,25.33622908592224
0.9486,0.9488,168.0,0.1,-1.0,23.55716300010681
0.9498,0.9499,173.0,0.1,-1.0,23.611613273620605
0.9649,0.9649,169.0,0.1,-1.0,23.67826795578003
0.958,0.9587,190.0,0.1,-1.0,23.638340950012207
0.9451,0.9452,158.0,0.1,-1.0,23.869423866271973
0.9477,0.9479,177.0,0.1,-1.0,23.697070837020874
0.9503,0.9504,164.0,0.1,-1.0,23.5432870388031
0.9434,0.9436,179.0,0.1,-1.0,23.59891366958618
0.9537,0.9537,191.0,0.1,-1.0,23.389186143875122
0.9512,0.9512,158.0,0.1,-1.0,23.204015016555786
0.9481,0.9482,160.0,0.1,-1.0,23.19479513168335
0.9537,0.954,163.0,0.1,-1.0,23.530776500701904
0.9456,0.9458,161.0,0.1,-1.0,23.280487060546875
0.9524,0.9526,166.0,0.1,-1.0,23.050872564315796
0.9537,0.9538,179.0,0.1,-1.0,23.227275371551514
