test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
1.0,1.0,2053.0,0.1,-1.0,19.889795303344727
0.875,0.875,1748.0,0.1,-1.0,18.92386794090271
1.0,1.0,1534.0,0.1,-1.0,18.951287508010864
0.9167,0.9062,1595.0,0.1,-1.0,18.90180730819702
0.9167,0.9091,1790.0,0.1,-1.0,18.94233727455139
0.9167,0.9062,1564.0,0.1,-1.0,19.04651165008545
0.9583,0.9444,1628.0,0.1,-1.0,19.029939889907837
1.0,1.0,2082.0,0.1,-1.0,18.917623281478882
1.0,1.0,1916.0,0.1,-1.0,19.05834674835205
0.9167,0.9062,1406.0,0.1,-1.0,18.94182252883911
0.9583,0.95,1639.0,0.1,-1.0,18.919256925582886
0.9583,0.9444,1679.0,0.1,-1.0,18.94883441925049
0.9583,0.9444,1488.0,0.1,-1.0,18.965006351470947
0.9167,0.9111,1639.0,0.1,-1.0,18.99303698539734
1.0,1.0,1707.0,0.1,-1.0,18.95108461380005
0.9167,0.9062,1453.0,0.1,-1.0,18.915836572647095
0.9167,0.9091,1695.0,0.1,-1.0,18.967400789260864
1.0,1.0,1720.0,0.1,-1.0,19.012344121932983
0.9167,0.9,1331.0,0.1,-1.0,18.937591075897217
0.9167,0.9111,1907.0,0.1,-1.0,18.952837705612183
1.0,1.0,1653.0,0.1,-1.0,18.92744493484497
0.9583,0.9444,1670.0,0.1,-1.0,18.95976233482361
0.9583,0.9688,1672.0,0.1,-1.0,18.962926864624023
0.9583,0.9444,1612.0,0.1,-1.0,19.01651096343994
0.9583,0.9444,1534.0,0.1,-1.0,18.971150398254395
0.9583,0.95,1652.0,0.1,-1.0,18.83197259902954
0.9167,0.9062,1327.0,0.1,-1.0,18.89306330680847
0.9583,0.9444,1574.0,0.1,-1.0,18.978358507156372
1.0,1.0,1729.0,0.1,-1.0,18.91023874282837
0.9167,0.9,1563.0,0.1,-1.0,18.913060903549194
0.9583,0.9444,1676.0,0.1,-1.0,18.927875518798828
0.875,0.8643,1632.0,0.1,-1.0,18.817827701568604
1.0,1.0,1779.0,0.1,-1.0,18.789023637771606
1.0,1.0,1592.0,0.1,-1.0,18.885940074920654
0.875,0.8643,1693.0,0.1,-1.0,18.83002805709839
0.9583,0.9444,1715.0,0.1,-1.0,18.816570520401
0.9583,0.9706,1493.0,0.1,-1.0,18.850886821746826
0.9583,0.95,1753.0,0.1,-1.0,18.809861183166504
0.9583,0.9444,1470.0,0.1,-1.0,18.88783574104309
0.9167,0.9,1617.0,0.1,-1.0,18.813297510147095
1.0,1.0,1633.0,0.1,-1.0,18.815159797668457
1.0,1.0,1773.0,0.1,-1.0,18.80484962463379
0.9583,0.9444,1357.0,0.1,-1.0,18.81793475151062
0.9167,0.9111,1449.0,0.1,-1.0,18.93578290939331
