test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
1.0,1.0,3803.0,0.1,-1.0,18.774487495422363
1.0,1.0,3873.0,0.1,-1.0,18.910659074783325
1.0,1.0,4628.0,0.1,-1.0,18.92325735092163
0.9833,0.9902,4092.0,0.1,-1.0,18.87792706489563
0.9833,0.9545,3639.0,0.1,-1.0,18.810205459594727
1.0,1.0,4121.0,0.1,-1.0,19.05906867980957
0.9833,0.9545,3665.0,0.1,-1.0,18.920716047286987
0.9833,0.9902,3728.0,0.1,-1.0,18.94976043701172
0.9836,0.9902,4762.0,0.1,-1.0,19.094992876052856
1.0,1.0,3833.0,0.1,-1.0,19.169560432434082
1.0,1.0,4051.0,0.1,-1.0,19.13580584526062
0.9836,0.9583,4664.0,0.1,-1.0,19.202681303024292
1.0,1.0,3391.0,0.1,-1.0,19.178308248519897
0.9833,0.9902,3753.0,0.1,-1.0,19.156970262527466
0.9836,0.9902,4003.0,0.1,-1.0,19.294550895690918
1.0,1.0,3883.0,0.1,-1.0,19.17765235900879
0.9833,0.9545,4097.0,0.1,-1.0,19.191474199295044
1.0,1.0,4075.0,0.1,-1.0,19.205920219421387
1.0,1.0,4113.0,0.1,-1.0,19.097492218017578
0.9833,0.9902,4351.0,0.1,-1.0,19.176444053649902
1.0,1.0,4810.0,0.1,-1.0,19.242714405059814
1.0,1.0,4272.0,0.1,-1.0,19.13281559944153
0.9833,0.9902,3783.0,0.1,-1.0,19.053563594818115
1.0,1.0,4071.0,0.1,-1.0,19.053977966308594
0.9833,0.9902,4354.0,0.1,-1.0,18.971952199935913
1.0,1.0,3930.0,0.1,-1.0,18.92847776412964
1.0,1.0,4249.0,0.1,-1.0,19.07258129119873
1.0,1.0,3886.0,0.1,-1.0,18.980427742004395
1.0,1.0,3998.0,0.1,-1.0,18.971004247665405
0.9836,0.9583,4814.0,0.1,-1.0,18.86724019050598
0.9667,0.94,2566.0,0.1,-1.0,18.857295274734497
1.0,1.0,3605.0,0.1,-1.0,18.871351957321167
1.0,1.0,4508.0,0.1,-1.0,18.960729360580444
0.9833,0.9902,3872.0,0.1,-1.0,18.941118717193604
1.0,1.0,4481.0,0.1,-1.0,19.114280700683594
1.0,1.0,4239.0,0.1,-1.0,19.182727098464966
1.0,1.0,3715.0,0.1,-1.0,19.179402112960815
0.9833,0.9902,4418.0,0.1,-1.0,19.13567805290222
1.0,1.0,4284.0,0.1,-1.0,19.188337564468384
0.9833,0.9902,3453.0,0.1,-1.0,19.341055393218994
0.9833,0.9545,4274.0,0.1,-1.0,19.252023220062256
0.9836,0.9902,4337.0,0.1,-1.0,19.200927734375
1.0,1.0,4108.0,0.1,-1.0,19.150592803955078
1.0,1.0,4298.0,0.1,-1.0,19.20017910003662
