test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
1.0,1.0,2795.0,0.1,-1.0,19.22082829475403
0.8667,0.8661,2524.0,0.1,-1.0,19.211405754089355
0.8667,0.8661,2852.0,0.1,-1.0,19.224278450012207
0.8,0.8056,2787.0,0.1,-1.0,19.232072114944458
1.0,1.0,2702.0,0.1,-1.0,19.22379207611084
0.8667,0.9,3161.0,0.1,-1.0,19.213943481445312
0.8,0.8036,2660.0,0.1,-1.0,19.254345178604126
0.9333,0.9444,2652.0,0.1,-1.0,19.179622173309326
0.9333,0.9375,2758.0,0.1,-1.0,19.12855315208435
0.9333,0.9375,2684.0,0.1,-1.0,19.204906940460205
0.9333,0.9444,2934.0,0.1,-1.0,19.203041553497314
0.8,0.8636,2884.0,0.1,-1.0,19.249268293380737
1.0,1.0,2765.0,0.1,-1.0,19.270609378814697
0.9333,0.9444,2461.0,0.1,-1.0,19.194135189056396
1.0,1.0,2677.0,0.1,-1.0,19.13932728767395
0.9333,0.9375,3015.0,0.1,-1.0,19.27350616455078
1.0,1.0,2708.0,0.1,-1.0,19.316909074783325
0.8,0.8056,3120.0,0.1,-1.0,19.266116857528687
0.7333,0.75,2805.0,0.1,-1.0,19.49648690223694
0.9333,0.9444,2787.0,0.1,-1.0,19.40241837501526
0.9333,0.9444,2441.0,0.1,-1.0,19.454159259796143
0.9333,0.9375,3137.0,0.1,-1.0,19.1488356590271
0.9333,0.9375,2826.0,0.1,-1.0,19.206613302230835
1.0,1.0,2750.0,0.1,-1.0,19.245450973510742
0.9333,0.9375,2290.0,0.1,-1.0,19.139732360839844
1.0,1.0,3250.0,0.1,-1.0,19.145150899887085
0.8,0.85,2739.0,0.1,-1.0,19.354140043258667
0.9333,0.9444,2860.0,0.1,-1.0,19.495866775512695
1.0,1.0,2713.0,0.1,-1.0,19.524864196777344
1.0,1.0,3092.0,0.1,-1.0,19.386847972869873
1.0,1.0,2994.0,0.1,-1.0,19.21238660812378
0.8,0.8056,2922.0,0.1,-1.0,19.23546862602234
1.0,1.0,2999.0,0.1,-1.0,19.22004461288452
0.9333,0.9375,2865.0,0.1,-1.0,19.252235889434814
0.8667,0.9,2604.0,0.1,-1.0,19.22875452041626
0.9333,0.9444,2681.0,0.1,-1.0,19.17375898361206
0.8667,0.8889,2962.0,0.1,-1.0,19.17867374420166
1.0,1.0,2807.0,0.1,-1.0,19.18306541442871
1.0,1.0,2970.0,0.1,-1.0,19.219257831573486
1.0,1.0,2979.0,0.1,-1.0,19.197181701660156
0.8667,0.8661,2777.0,0.1,-1.0,19.20936679840088
1.0,1.0,2606.0,0.1,-1.0,19.204299211502075
0.8667,0.8661,2925.0,0.1,-1.0,19.181516647338867
1.0,1.0,2863.0,0.1,-1.0,19.184242486953735
