test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
0.4798,0.4794,500.0,0.0,-1.0,4.99601411819458
0.4769,0.475,500.0,0.0,-1.0,4.95978307723999
0.4856,0.4855,500.0,0.0,-1.0,4.951736211776733
0.5075,0.5078,500.0,0.0,-1.0,4.942392587661743
0.4838,0.4835,500.0,0.0,-1.0,4.947980880737305
0.5859,0.5859,500.0,0.0,-1.0,4.884533166885376
0.4879,0.4865,500.0,0.0,-1.0,4.877927303314209
0.5254,0.5256,500.0,0.0,-1.0,4.879681825637817
0.5133,0.5137,500.0,0.0,-1.0,4.870433807373047
0.4775,0.4697,500.0,0.0,-1.0,4.887959718704224
0.4988,0.4986,500.0,0.0,-1.0,4.880162239074707
0.5606,0.5611,500.0,0.0,-1.0,4.887583494186401
0.5225,0.5266,500.0,0.0,-1.0,4.884333610534668
0.5,0.5,500.0,0.0,-1.0,4.927120685577393
0.5167,0.5168,500.0,0.0,-1.0,4.922604560852051
0.4729,0.4728,500.0,0.0,-1.0,4.933403015136719
0.515,0.5202,500.0,0.0,-1.0,4.919198989868164
0.5121,0.5159,500.0,0.0,-1.0,4.942514896392822
0.4867,0.4681,500.0,0.0,-1.0,4.945462226867676
0.5173,0.5215,500.0,0.0,-1.0,4.944138765335083
0.4775,0.475,500.0,0.0,-1.0,4.941810846328735
0.489,0.4831,500.0,0.0,-1.0,4.925238609313965
0.5254,0.5443,500.0,0.0,-1.0,4.941140651702881
0.5087,0.51,500.0,0.0,-1.0,4.938590049743652
0.4994,0.4996,500.0,0.0,-1.0,4.941748380661011
0.537,0.5374,500.0,0.0,-1.0,4.9366350173950195
0.5225,0.5333,500.0,0.0,-1.0,4.931795358657837
0.5248,0.5279,500.0,0.0,-1.0,4.9263999462127686
0.5242,0.5276,500.0,0.0,-1.0,4.921156406402588
0.489,0.4821,500.0,0.0,-1.0,4.935193777084351
0.5444,0.5635,500.0,0.0,-1.0,4.8724524974823
0.5023,0.5034,500.0,0.0,-1.0,4.878145694732666
0.5329,0.5342,500.0,0.0,-1.0,4.878072738647461
0.5017,0.5017,500.0,0.0,-1.0,4.915759325027466
0.4919,0.4918,500.0,0.0,-1.0,4.9418628215789795
0.5202,0.5257,500.0,0.0,-1.0,4.920648813247681
0.496,0.4949,500.0,0.0,-1.0,4.929633140563965
0.4838,0.4764,500.0,0.0,-1.0,4.9421141147613525
0.5167,0.519,500.0,0.0,-1.0,4.961145401000977
0.526,0.528,500.0,0.0,-1.0,4.9393980503082275
0.4873,0.4868,500.0,0.0,-1.0,4.935232877731323
0.4937,0.4879,500.0,0.0,-1.0,4.932498216629028
0.4971,0.4968,500.0,0.0,-1.0,4.971562385559082
0.4977,0.4935,500.0,0.0,-1.0,5.008655548095703
