test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
0.8095,0.7981,46.0,0.2,0.0005047794411518,41.95658254623413
0.9,0.8901,28.0,0.2,0.0005552150663116,46.01554870605469
0.8095,0.7857,33.0,0.2,0.0004773583632131,39.89536595344544
0.8095,0.7981,25.0,0.2,0.0004997331768745,41.40148496627808
0.9,0.8901,44.0,0.2,0.0005815874404686,48.31892037391663
0.8095,0.8062,43.0,0.2,0.0004657314825622,38.79784798622131
0.8095,0.7981,20.0,0.2,0.0006276505573405,51.83351445198059
0.75,0.7262,24.0,0.2,0.0004512123631371,37.11528134346008
0.8095,0.7857,25.0,0.2,0.0005760896606255,47.90182638168335
0.8095,0.8167,46.0,0.2,0.0006251492544638,51.88023662567139
0.85,0.8333,34.0,0.2,0.0004905978086422,41.25480580329895
0.8095,0.8182,29.0,0.2,0.0005527808948908,46.83417844772339
0.7143,0.6971,20.0,0.2,0.0007947228216074,65.11930727958679
0.85,0.8452,33.0,0.2,0.0005541720715303,46.07487988471985
