test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
0.915,0.9154,10.0,0.25,0.0005225911493239,47.42131996154785
0.9,0.9026,10.0,0.25,0.0005438637565146,48.88588881492615
0.89,0.9031,10.0,0.25,0.0005714513962639,52.00840210914612
0.88,0.8802,10.0,0.25,0.0005103933562449,46.14129137992859
0.92,0.9202,10.0,0.25,0.0005166542661881,46.62965393066406
0.905,0.906,10.0,0.25,0.0004973749371438,44.79980611801148
0.935,0.9371,10.0,0.25,0.0005562061695838,50.33478832244873
0.88,0.8876,10.0,0.25,0.0005574489001125,50.72364902496338
0.88,0.8814,10.0,0.25,0.0005050650853645,45.39907121658325
0.895,0.9018,10.0,0.25,0.0005931104442608,53.92485952377319
0.895,0.8954,10.0,0.25,0.0005287233896069,47.8507194519043
0.885,0.8869,10.0,0.25,0.0005444127384024,49.34310078620911
0.88,0.8806,10.0,0.25,0.0006267402025625,56.52475666999817
0.91,0.9126,10.0,0.25,0.0006117740258027,55.1658353805542
