test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
0.92,0.9207,10.0,0.05,0.001309715547407,119.5016553401947
0.915,0.915,11.0,0.05,0.0012665678780424,115.24248719215392
0.9,0.908,10.0,0.05,0.0011947095672629,109.21528911590576
0.915,0.915,11.0,0.05,0.0012369866063388,112.2232358455658
0.915,0.9154,10.0,0.05,0.0011513102403374,105.13583183288574
0.92,0.92,10.0,0.05,0.0012292067268209,112.04561376571657
0.935,0.9371,10.0,0.05,0.0013149015473298,119.69854736328124
0.88,0.8838,10.0,0.05,0.0011608254058535,105.76929092407228
0.875,0.8836,10.0,0.05,0.001193010852348,109.14186358451845
0.895,0.9018,10.0,0.05,0.0010323544218579,94.4918134212494
0.895,0.8954,10.0,0.05,0.0011719256425404,106.50262236595154
0.89,0.8914,11.0,0.05,0.0011535741114254,105.2884156703949
0.91,0.9102,10.0,0.05,0.0012022046434776,110.20516180992126
0.925,0.9285,11.0,0.05,0.00149718998744,135.9773406982422
