test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
0.8843,0.8843,10.0,0.25,0.0004452646841999,40.80393099784851
0.8903,0.8903,10.0,0.25,0.0006092010921089,54.68530607223511
0.8955,0.8956,10.0,0.25,0.0005152894897104,47.07882738113403
0.8916,0.8916,10.0,0.25,0.0005185617979554,47.18824911117554
0.8881,0.8882,10.0,0.25,0.00052839844248,47.474607706069946
0.8959,0.897,10.0,0.25,0.0006163599437145,56.22159290313721
0.8881,0.8882,10.0,0.25,0.0006187598162138,56.15127730369568
0.8924,0.8924,10.0,0.25,0.0005065703032972,46.03369188308716
0.8976,0.8976,10.0,0.25,0.0005927561439057,53.46351766586304
0.8873,0.8873,10.0,0.25,0.0005324472020432,48.26424431800842
0.9036,0.9045,10.0,0.25,0.0006287952180554,57.126301288604736
0.898,0.8985,10.0,0.25,0.0006398648507411,57.50118136405945
0.9053,0.9058,10.0,0.25,0.0006228112111988,56.59115743637085
0.9023,0.9025,10.0,0.25,0.0006075160223072,54.85299849510193
