test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
0.8667,0.9,270.0,0.05,0.0004804780396764,43.10583138465881
0.9333,0.9375,230.0,0.05,0.0003574319227179,32.438767194747925
0.9333,0.9444,271.0,0.05,0.0004296060190436,39.20891785621643
0.8667,0.8661,236.0,0.05,0.0004548401529014,41.52642250061035
0.9333,0.9375,320.0,0.05,0.0004438439140801,40.184529066085815
0.8667,0.9,253.0,0.05,0.0005355801043806,48.72575092315674
0.8667,0.8661,247.0,0.05,0.0004744654282385,42.59372854232788
0.9333,0.9444,306.0,0.05,0.0004049298551411,36.53253746032715
1.0,1.0,286.0,0.05,0.0004619130216079,42.28251314163208
0.9333,0.9375,223.0,0.05,0.0006876697833395,61.73740363121033
0.9333,0.9375,305.0,0.05,0.0004825337545587,44.06650114059448
0.8,0.8636,273.0,0.05,0.0003977200866477,36.53962755203247
1.0,1.0,251.0,0.05,0.000463062889087,41.73981046676636
0.9333,0.9444,254.0,0.05,0.0005308189253243,48.204012393951416
