test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
1.0,1.0,45.0,0.1,0.0010621644877371,83.52431559562683
1.0,1.0,48.0,0.1,0.0010584260019568,82.90547370910645
1.0,1.0,38.0,0.1,0.0010819313077489,84.9303891658783
0.9583,0.9444,29.0,0.1,0.001127223709866,88.34632539749146
0.9583,0.95,33.0,0.1,0.0013721550409265,107.6768319606781
0.9167,0.9062,32.0,0.1,0.0012276492983712,96.73549389839172
0.9583,0.9444,29.0,0.1,0.0013533623593313,106.34689927101137
1.0,1.0,79.0,0.1,0.0009325648669895,73.31391596794128
0.9583,0.9444,27.0,0.1,0.0014370543366522,112.84074091911316
0.9583,0.9706,17.0,0.1,0.0011599538289669,90.61015272140504
0.9583,0.95,29.0,0.1,0.0014050995879304,110.34587097167967
1.0,1.0,47.0,0.1,0.0010541485473373,82.5840528011322
0.9583,0.9444,62.0,0.1,0.0010948943772721,85.7665958404541
0.9583,0.9688,21.0,0.1,0.0014798046056728,116.35436272621156
