test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
1.0,1.0,15.0,0.05,0.0028639464025426,212.18918323516849
1.0,1.0,22.0,0.05,0.0026756662090884,197.7189693450928
1.0,1.0,15.0,0.05,0.0030481822738243,226.24929404258728
0.9667,0.9808,35.0,0.05,0.0026862745743717,199.1328392028809
1.0,1.0,19.0,0.05,2.864379939579773e-05,194.11460208892825
0.9836,0.9902,33.0,0.05,0.0021817274264473,162.01143383979797
1.0,1.0,18.0,0.05,0.0029820597578525,221.2419717311859
0.9833,0.9902,12.0,0.05,0.0029536077076062,218.1664204597473
0.9836,0.9902,19.0,0.05,0.0035514707361932,263.0112087726593
0.9833,0.9902,14.0,0.05,0.0028410449137606,210.1616494655609
1.0,1.0,20.0,0.05,0.002881222993479,213.1734042167664
0.9836,0.9902,18.0,0.05,0.0029220279183723,216.9476354122162
1.0,1.0,36.0,0.05,0.0020945864091279,155.26126217842102
0.9833,0.9902,13.0,0.05,0.0028588976469892,211.91889572143555
