test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
0.8095,0.7981,139.0,0.1,0.0010551576654275,95.87627577781676
0.9,0.8901,84.0,0.1,0.0008615522902228,78.57282161712646
0.8095,0.7857,111.0,0.1,0.000551318830807,50.32298970222473
0.8095,0.7981,100.0,0.1,0.0005503770492739,49.82421898841858
0.9,0.8901,146.0,0.1,0.0008403933942013,77.08757996559143
0.8095,0.7857,99.0,0.1,0.0007199994871611,65.25378656387329
0.9048,0.9,125.0,0.1,0.0007149190743032,65.63353848457336
0.85,0.8333,65.0,0.1,0.0006967818703633,63.15674710273743
0.7619,0.7545,92.0,0.1,0.0007342330496414,67.19051790237427
0.7619,0.775,211.0,0.1,0.0008546572858861,78.2022454738617
0.8,0.7879,95.0,0.1,0.0006194493990248,56.29100131988525
0.7619,0.7917,129.0,0.1,0.0005698321351011,51.86288499832153
0.8095,0.7981,154.0,0.1,0.0009376033644115,85.13176202774048
0.85,0.8452,142.0,0.1,0.0007958485181524,72.34399771690369
