test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
0.92,0.9207,10.0,0.15000000000000002,0.0007383673988264,66.89460492134094
0.89,0.8902,10.0,0.15000000000000002,0.0008409798335137,75.69495391845703
0.905,0.9171,10.0,0.15000000000000002,0.0009017075568766,81.27832102775574
0.89,0.89,10.0,0.15000000000000002,0.0007731201004795,69.684410572052
0.91,0.9102,10.0,0.15000000000000002,0.0007546182112662,68.01503801345825
0.91,0.9102,10.0,0.15000000000000002,0.0007507568123216,67.3339421749115
0.94,0.9416,10.0,0.15000000000000002,0.0007530836303198,67.75761437416077
0.875,0.8814,10.0,0.15000000000000002,0.0008349818543131,75.33878779411316
0.88,0.8814,10.0,0.15000000000000002,0.0007430572685568,66.65192437171936
0.885,0.8897,10.0,0.15000000000000002,0.0006765862723255,61.038381576538086
0.89,0.8902,10.0,0.15000000000000002,0.0007778893656572,69.20025038719177
0.895,0.8969,10.0,0.15000000000000002,0.0007480565213064,67.47648000717163
0.91,0.9107,10.0,0.15000000000000002,0.0008317038877188,74.93626761436462
0.925,0.9285,10.0,0.15000000000000002,0.0008637661112595,77.07951521873474
