test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
0.5091,0.5067,10.0,0.05,0.0021593455089782,197.2043137550354
0.5082,0.5082,0.0,0.05,0.0024693999596255,226.02995252609253
0.5087,0.5087,0.0,0.05,0.0007589670168848,68.75273013114929
0.4952,0.5523,10.0,0.05,0.0020638342133686,188.21664214134216
0.5558,0.5587,10.0,0.05,0.0028531908677271,259.8914766311645
0.5856,0.6023,10.0,0.05,0.0016034737351642,146.8123779296875
0.5022,0.5025,10.0,0.05,0.0024350098409036,221.5181529521942
0.6987,0.704,10.0,0.05,0.0021887821706981,199.94419980049133
0.5087,0.5087,0.0,0.05,0.0018974704764919,173.1183214187622
0.542,0.5567,10.0,0.05,0.0025849988109014,235.1478099822998
0.5082,0.5082,0.0,0.05,0.001820283195096,166.1233673095703
0.5294,0.5288,21.0,0.05,0.0038050525215325,347.3615157604217
0.5022,0.467,10.0,0.05,0.0014145012220735,129.00842905044556
0.5377,0.5373,10.0,0.05,0.0014147706081534,128.9104461669922
