test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
0.5403,0.5407,10.0,0.1,0.0015668665986677,142.27683925628662
0.5351,0.6238,10.0,0.1,0.0033509230228097,304.0941045284271
0.532,0.6589,10.0,0.1,0.004352176490625,395.00439524650574
0.5472,0.547,10.0,0.1,0.0029139913875545,264.013298034668
0.5203,0.5221,10.0,0.1,0.003228885631869,292.7838053703308
0.583,0.6039,10.0,0.1,0.0021964833071079,199.45299649238584
0.5957,0.605,10.0,0.1,0.0019430663482589,175.97192239761353
0.5688,0.59,10.0,0.1,0.0025149833243777,228.5250988006592
0.5355,0.5463,10.0,0.1,0.002408297467841,218.49834203720093
0.4952,0.503,10.0,0.1,0.0030177755819854,274.72466945648193
0.5636,0.6135,10.0,0.1,0.002560567375511,232.98202657699585
0.6168,0.6548,10.0,0.1,0.003344336830076,304.01036262512207
0.5177,0.5201,10.0,0.1,0.0032363869724357,293.4284336566925
0.5619,0.5636,10.0,0.1,0.0030717847430513,279.0400049686432
