test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
0.9233,0.9233,10.0,0.1,0.0022466625399362,203.6853334903717
0.9078,0.9079,10.0,0.1,0.0016041557421054,146.27759051322937
0.928,0.9282,10.0,0.1,0.0016270941695064,147.78235268592834
0.9066,0.9067,10.0,0.1,0.0010863906551137,98.45363879203796
0.9293,0.9297,10.0,0.1,0.0017355077504843,157.17830848693848
0.9109,0.9111,10.0,0.1,0.0014877315590439,135.02106142044067
0.9173,0.9175,10.0,0.1,0.0011528134108256,104.46093392372131
0.9096,0.9096,10.0,0.1,0.0011692096452116,106.13456106185912
0.916,0.9163,10.0,0.1,0.0010664228888567,96.82660007476808
0.9177,0.9185,10.0,0.1,0.0018073258506954,164.7690303325653
0.9126,0.9127,10.0,0.1,0.0014292644081502,129.8887233734131
0.9092,0.9092,10.0,0.1,0.0012385705245487,112.565114736557
0.9134,0.9135,10.0,0.1,0.0018107504374217,164.3449101448059
0.9173,0.9173,10.0,0.1,0.0017122818546321,155.2718915939331
