test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
1.0,1.0,33.0,0.25,0.0004821845918624,43.75626039505005
0.9583,0.95,20.0,0.25,0.000766357282504,69.83495116233826
1.0,1.0,30.0,0.25,0.0005089401337927,46.70836329460144
0.9583,0.9706,21.0,0.25,0.0005683828022479,52.17003560066223
0.9583,0.95,25.0,0.25,0.0005920444054445,53.82570219039917
1.0,1.0,22.0,0.25,0.000585671194724,53.643863916397095
0.9583,0.9444,31.0,0.25,0.0005484862810402,49.48455429077149
1.0,1.0,23.0,0.25,0.0006653882450473,61.202428340911865
0.9583,0.9444,34.0,0.25,0.0005470650242493,49.86211562156677
0.9583,0.9706,24.0,0.25,0.0005589070457059,51.36462473869324
0.9583,0.95,26.0,0.25,0.0006814034035279,62.458433389663696
1.0,1.0,33.0,0.25,0.0004998239588189,45.71373224258423
0.9583,0.9444,32.0,0.25,0.000514816515039,47.20120072364807
0.9583,0.9688,24.0,0.25,0.0006076699426017,55.36259484291077
