test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
1.0,1.0,79.0,0.1,0.0010616584109798,96.15161752700806
1.0,1.0,43.0,0.1,0.0020099344576668,182.0977590084076
1.0,1.0,50.0,0.1,0.0020725015118166,188.15531516075131
0.9667,0.9808,89.0,0.1,0.0019328076942928,175.37908506393433
1.0,1.0,29.0,0.1,0.0023216541644663,210.78198885917664
0.9836,0.9902,67.0,0.1,0.0016018415084793,145.46781969070437
1.0,1.0,71.0,0.1,0.0014607556201182,133.06249380111694
0.9833,0.9902,50.0,0.1,0.0021171804593418,192.0064382553101
0.9836,0.9902,128.0,0.1,0.0014639917058286,133.1239833831787
1.0,1.0,46.0,0.1,0.001442029078836,130.68617057800293
1.0,1.0,47.0,0.1,0.0015319151074517,139.34463381767273
1.0,1.0,55.0,0.1,0.0021962248476962,199.6237893104553
1.0,1.0,39.0,0.1,0.0014192591996539,129.25550508499146
0.9833,0.9902,46.0,0.1,0.001819501601849,164.4557228088379
