test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
1.0,1.0,91.0,0.1,0.0021089412553936,182.7892825603485
1.0,1.0,48.0,0.1,0.002643798118732,232.11567425727844
1.0,1.0,76.0,0.1,0.002499684959756,219.8921740055084
0.9833,0.9902,155.0,0.1,0.0014504846094924,127.49729657173155
1.0,1.0,144.0,0.1,0.0021961086465321,192.85091972351077
0.9836,0.9902,65.0,0.1,0.0023552586708499,205.67563009262085
1.0,1.0,107.0,0.1,0.0032570269593295,285.56283593177795
0.9833,0.9902,75.0,0.1,0.0030043940453098,263.79220843315125
0.9836,0.9902,364.0,0.1,0.0025205423045149,221.0817458629608
1.0,1.0,137.0,0.1,0.0018242876649996,159.8710207939148
1.0,1.0,57.0,0.1,0.0027153173672482,238.3210542201996
1.0,1.0,157.0,0.1,0.0035371740440066,313.3236212730408
1.0,1.0,45.0,0.1,0.0028428246661347,253.4203908443451
0.9833,0.9902,58.0,0.1,0.0030047394976526,264.70642733573914
