test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
1.0,1.0,82.0,0.25,0.0006497268135257,59.0057475566864
0.9333,0.9444,83.0,0.25,0.0005574198149057,51.22960448265076
0.8667,0.8661,125.0,0.25,0.0004539567707108,40.67867422103882
0.7333,0.7321,82.0,0.25,0.000608969967235,56.28917336463928
0.9333,0.9375,140.0,0.25,0.0004550345932363,41.34473395347595
0.9333,0.9444,96.0,0.25,0.0006973610900842,63.7800350189209
0.9333,0.9444,131.0,0.25,0.0004049982752214,37.20312595367432
0.9333,0.9444,142.0,0.25,0.0004827658182609,43.759663343429565
0.8,0.8036,75.0,0.25,0.0007034998621745,64.06494903564453
0.8667,0.8889,69.0,0.25,0.0006447032188765,58.977487325668335
0.8,0.8056,94.0,0.25,0.0005799960295986,53.05681228637695
0.9333,0.9444,105.0,0.25,0.0004786358047274,43.94570732116699
0.9333,0.9444,154.0,0.25,0.0004058697882245,36.64878392219544
1.0,1.0,71.0,0.25,0.0005798000129507,53.072675704956055
