test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
1.0,1.0,757.0,0.15000000000000002,0.0008270430768517,74.9799416065216
0.8667,0.8661,613.0,0.15000000000000002,0.0007382987071258,67.13560342788696
0.8667,0.8661,709.0,0.15000000000000002,0.0006652500741747,60.773234367370605
0.8,0.8036,680.0,0.15000000000000002,0.0007793977404616,70.34387469291687
1.0,1.0,592.0,0.15000000000000002,0.0007947284777482,72.28920841217041
0.8667,0.9,750.0,0.15000000000000002,0.0008489226156147,76.67463898658752
0.8667,0.9,618.0,0.15000000000000002,0.0006823848055907,62.10272645950317
0.9333,0.9444,619.0,0.15000000000000002,0.0008918927185694,80.74453735351562
0.9333,0.9375,665.0,0.15000000000000002,0.0007878199178091,71.14863014221191
0.9333,0.9375,593.0,0.15000000000000002,0.0009987724832921,91.43034887313844
0.9333,0.9444,620.0,0.15000000000000002,0.0009398779897104,85.0963876247406
0.8667,0.9,637.0,0.15000000000000002,0.0011060331077494,100.79919147491456
1.0,1.0,621.0,0.15000000000000002,0.0009178885103537,83.9454698562622
1.0,1.0,458.0,0.15000000000000002,0.0010184880836024,92.75555157661438
