test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
0.8095,0.7981,356.0,0.05,0.0005790824432798,52.93144631385803
0.9,0.8901,201.0,0.05,0.0007026827468401,64.30604887008667
0.8095,0.7857,152.0,0.05,0.000631328562597,57.87377548217773
0.8095,0.7981,125.0,0.05,0.0006195796401738,56.62757158279419
0.9,0.8901,252.0,0.05,0.0011304476443526,102.82795739173888
0.7619,0.7333,269.0,0.05,0.0005520436309777,50.17780876159668
0.9524,0.9444,219.0,0.05,0.0007097928443574,64.74335169792175
0.85,0.8333,107.0,0.05,0.0005881100647856,53.86221361160278
0.8571,0.8365,165.0,0.05,0.0006555858407219,59.57485485076904
0.8095,0.8167,380.0,0.05,0.0007502558421901,68.10011148452759
0.8,0.7879,151.0,0.05,0.0005754407542549,52.608158588409424
0.7619,0.7917,147.0,0.05,0.0009040522782646,82.38961553573608
0.8095,0.7981,312.0,0.05,0.0008372955556439,76.4692771434784
0.9,0.8901,257.0,0.05,0.0006852935275098,62.6803035736084
