test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
0.8571,0.8472,24.0,0.25,0.0004596334837875,42.12279391288757
0.9,0.8901,15.0,0.25,0.000569814745028,52.20496129989624
0.8095,0.7857,31.0,0.25,0.0003771964060668,34.43363881111145
0.8095,0.7981,20.0,0.25,0.000417747015909,37.7533016204834
0.85,0.8452,38.0,0.25,0.0004203564809034,38.42352938652039
0.8095,0.7857,34.0,0.25,0.0003988051111239,36.34133791923523
0.8571,0.8472,14.0,0.25,0.0005279893517468,47.81627249717712
0.7,0.6667,17.0,0.25,0.000401185811485,37.09711265563965
0.8095,0.7857,40.0,0.25,0.000361518151906,32.77679514884949
0.7619,0.775,24.0,0.25,0.0005077601683938,46.18028950691223
0.8,0.7879,44.0,0.25,0.0003302124619011,30.042731523513797
0.7619,0.7917,41.0,0.25,0.0003457720435241,31.66918897628784
0.8095,0.7981,16.0,0.25,0.0005514638338763,49.8350555896759
0.85,0.8452,13.0,0.25,0.0005279788736667,48.03397488594055
