test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
0.8571,0.8472,864.0,0.1,0.0001429446378138,13.606969594955444
0.9,0.8901,676.0,0.1,0.0001429166872073,13.44143557548523
0.7143,0.6944,735.0,0.1,0.0001515919094147,13.637869834899902
0.8095,0.7981,576.0,0.1,0.0001503000333719,13.636385679244995
0.9,0.8901,1093.0,0.1,0.0001398664335274,13.416891813278198
0.8095,0.7857,774.0,0.1,0.0001489033968834,13.356508493423462
0.9524,0.9444,926.0,0.1,0.0001450356332466,13.573537349700928
0.85,0.8333,707.0,0.1,0.0001448561202084,13.4904146194458
0.8571,0.85,705.0,0.1,0.0001526402460141,13.654939651489258
0.8095,0.8167,1033.0,0.1,0.0001426176680427,13.621317625045776
0.75,0.75,662.0,0.1,0.0001476097086058,13.488609313964844
0.7619,0.7917,756.0,0.1,0.0001556215624157,13.736602783203123
0.8095,0.7981,922.0,0.1,0.0001474816898238,13.743257761001589
0.9,0.9333,954.0,0.1,0.0001370547874233,13.02678680419922
0.9524,0.9375,763.0,0.1,0.0001440522890512,13.275511980056764
0.8571,0.8636,836.0,0.1,0.0001486757949749,13.307497501373293
0.75,0.7262,619.0,0.1,0.0001378244468268,13.0350923538208
0.8095,0.8889,1040.0,0.1,0.0001424782289588,13.19548749923706
0.8571,0.8472,452.0,0.1,0.0001499992907351,13.241764068603516
0.8,0.8182,784.0,0.1,0.0001415203282152,13.47181272506714
0.8571,0.85,786.0,0.1,0.0001489239922664,13.738770961761476
1.0,1.0,881.0,0.1,0.0001504430230064,13.543214559555054
0.75,0.7262,614.0,0.1,0.0001423455512245,13.289693117141724
0.6667,0.6346,699.0,0.1,0.0001451483325106,13.679824590682983
0.8571,0.8571,1000.0,0.1,0.0001475324067041,13.61160373687744
0.85,0.8333,750.0,0.1,0.0001477226930007,13.400706768035889
0.8095,0.7917,1083.0,0.1,0.0001519403927203,13.640322923660278
0.8095,0.7981,736.0,0.1,0.0001452096375725,13.662906169891356
0.85,0.8452,797.0,0.1,0.0001402067529916,12.870337724685667
0.9048,0.9375,727.0,0.1,0.000140876286639,12.63163161277771
0.8571,0.8636,913.0,0.1,0.0001372814742703,12.643251419067385
0.7,0.6869,769.0,0.1,0.0001390723305477,12.795661926269531
0.8095,0.7857,927.0,0.1,0.0001418741473439,12.765906810760498
0.7143,0.7091,681.0,0.1,0.0001389013443441,12.73522925376892
0.9,0.8889,904.0,0.1,0.0001380946504538,12.989179134368896
0.8571,0.8365,900.0,0.1,0.0001454033401375,13.3615620136261
0.7143,0.6971,629.0,0.1,0.0001511894573311,13.615684747695925
0.8,0.8,903.0,0.1,0.0001387699947582,12.99800705909729
0.7619,0.7333,749.0,0.1,0.00014336081505,13.243386507034302
0.9048,0.9,657.0,0.1,0.0001493687650319,13.456433773040771
0.8,0.7879,845.0,0.1,0.0001467803083026,13.38305139541626
0.7619,0.7333,698.0,0.1,0.0001459322859761,13.682576894760132
0.9048,0.9333,765.0,0.1,0.000145279034117,13.728265285491943
0.8,0.8182,872.0,0.1,0.0001452303414105,13.0901358127594
