test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
0.9,0.9002,10.0,0.2,0.000644850268777,58.59755277633667
0.9,0.9026,10.0,0.2,0.0006164180049453,56.00387406349182
0.89,0.9031,10.0,0.2,0.0006727777776716,61.03734970092773
0.89,0.8902,10.0,0.2,0.0005745782102495,51.770161628723145
0.92,0.9202,10.0,0.2,0.000604568598085,55.34123134613037
0.895,0.8969,10.0,0.2,0.0006264272033375,56.40909862518311
0.94,0.9416,10.0,0.2,0.0006155166544775,56.1568558216095
0.885,0.8916,10.0,0.2,0.0006203178920528,56.21398663520813
0.88,0.8814,10.0,0.2,0.0005741096502402,52.26594734191895
0.885,0.8897,10.0,0.2,0.0005452154527286,49.33827781677246
0.89,0.8902,10.0,0.2,0.0006089500200041,55.40861129760742
0.885,0.8869,10.0,0.2,0.000612340969771,55.87004184722901
0.89,0.8914,10.0,0.2,0.000729782904032,66.95191788673401
0.93,0.9328,10.0,0.2,0.0006752550905287,60.93873405456543
