test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
0.91,0.9102,10.0,0.25,0.0004531339267925,41.29781150817871
0.905,0.907,10.0,0.25,0.0004659508609825,42.13400888442993
0.89,0.9031,10.0,0.25,0.0004896480222245,44.140605211257935
0.89,0.8906,10.0,0.25,0.0004247423321109,38.5876579284668
0.925,0.9254,10.0,0.25,0.0004452342883426,40.29460978507996
0.91,0.9107,10.0,0.25,0.0004465487260561,40.20975375175476
0.935,0.9371,10.0,0.25,0.0004973151975066,45.398587703704834
0.875,0.8836,10.0,0.25,0.0005507239335944,49.8084077835083
0.885,0.886,10.0,0.25,0.0004376646132234,39.62190270423889
0.885,0.8939,10.0,0.25,0.0004480426323329,40.90076637268066
0.895,0.8954,10.0,0.25,0.0004695289786182,42.752803564071655
0.885,0.8869,10.0,0.25,0.0004658807650849,42.03791785240173
0.875,0.875,10.0,0.25,0.0005578550714035,50.39503502845764
0.915,0.917,10.0,0.25,0.000513319738939,46.41185688972473
