test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
0.92,0.9207,10.0,0.1,0.0011277753411952,102.46589040756226
0.885,0.8916,11.0,0.1,0.0012400472920083,112.5445020198822
0.9,0.9134,10.0,0.1,0.001125440728708,102.15171122550964
0.895,0.895,11.0,0.1,0.0011885787535416,107.2054090499878
0.91,0.9102,10.0,0.1,0.0010777649860623,98.09379196166992
0.9,0.9006,10.0,0.1,0.0011315867845092,102.423357963562
0.915,0.9184,10.0,0.1,0.0012366057781549,112.214102268219
0.88,0.8856,10.0,0.1,0.0010525321749874,95.5325243473053
0.9,0.9014,10.0,0.1,0.0010385864296946,94.55514025688171
0.885,0.8897,10.0,0.1,0.0008923788470284,80.48344588279724
0.895,0.8954,10.0,0.1,0.0010591859117404,95.71321368217468
0.885,0.8869,10.0,0.1,0.0010805062944828,97.7976143360138
0.905,0.905,11.0,0.1,0.0011643685026701,105.67780685424805
0.93,0.9328,12.0,0.1,0.0012291762417334,111.51886987686156
