test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
0.925,0.9302,20000.0,0.0,1.733512843067973e-05,1.3296942710876465
0.925,0.925,20000.0,0.0,1.814151345346913e-05,1.3302481174468994
0.86,0.8695,20000.0,0.0,1.932107835351137e-05,1.3362987041473389
0.91,0.9182,20000.0,0.0,1.825882694786903e-05,1.3387501239776611
0.92,0.9242,20000.0,0.0,1.7010497122223504e-05,1.3310611248016355
0.89,0.8914,20000.0,0.0,1.868225718012811e-05,1.3365676403045654
0.91,0.9182,20000.0,0.0,1.7450598369884007e-05,1.3373277187347412
0.91,0.9126,20000.0,0.0,1.779434949333472e-05,1.3289728164672852
0.91,0.9115,20000.0,0.0,1.8890513840139306e-05,1.330882549285889
0.88,0.8958,20000.0,0.0,1.805443350039701e-05,1.337123155593872
0.885,0.8994,20000.0,0.0,1.8116391252163725e-05,1.3261187076568604
0.91,0.9115,20000.0,0.0,1.921895276941829e-05,1.3323335647583008
0.885,0.885,20000.0,0.0,1.9346759038816546e-05,1.341951608657837
0.93,0.9328,20000.0,0.0,1.788828640971899e-05,1.3352837562561035
0.905,0.91,20000.0,0.0,1.8694601287412236e-05,1.3299624919891355
0.9,0.9167,20000.0,0.0,1.925592036143809e-05,1.3379888534545898
0.91,0.91,20000.0,0.0,1.862422848674992e-05,1.3330671787261963
0.9,0.908,20000.0,0.0,1.7163507668338684e-05,1.34203839302063
0.71,0.8165,20000.0,0.0,1.8813301216365186e-05,1.3386099338531494
0.91,0.91,20000.0,0.0,1.8162681220745903e-05,1.327718734741211
0.895,0.9132,20000.0,0.0,1.75896423584282e-05,1.3317291736602783
0.92,0.9202,20000.0,0.0,1.884103072170744e-05,1.3370511531829834
0.92,0.9215,20000.0,0.0,1.825478222871244e-05,1.3340680599212646
0.905,0.9171,20000.0,0.0,1.7830592948396726e-05,1.339648962020874
0.89,0.8902,20000.0,0.0,1.7559352589706647e-05,1.331721544265747
0.915,0.916,20000.0,0.0,1.9086684408686944e-05,1.330906629562378
0.885,0.886,20000.0,0.0,1.8124503582050796e-05,1.3299129009246826
0.895,0.9018,20000.0,0.0,1.717017779306398e-05,1.3327069282531738
0.87,0.8926,20000.0,0.0,1.9796049858996656e-05,1.3341903686523438
0.875,0.889,20000.0,0.0,1.812335363421851e-05,1.3385915756225586
0.825,0.8704,20000.0,0.0,1.792862739905429e-05,1.329498529434204
0.925,0.9323,20000.0,0.0,1.927591974140509e-05,1.3303322792053225
0.905,0.907,20000.0,0.0,1.8512263488816992e-05,1.329295635223389
0.93,0.9307,20000.0,0.0,1.7853943246186422e-05,1.3351693153381348
0.885,0.8994,20000.0,0.0,1.922178474821212e-05,1.3390254974365234
0.885,0.9065,20000.0,0.0,1.816059076298249e-05,1.3329126834869385
0.91,0.9208,20000.0,0.0,1.737934133705409e-05,1.330528974533081
0.905,0.907,20000.0,0.0,1.90101158265497e-05,1.3315997123718262
0.89,0.9031,20000.0,0.0,1.872884845390361e-05,1.3465349674224854
0.905,0.9202,20000.0,0.0,1.7927677550403498e-05,1.3381195068359375
0.89,0.9098,20000.0,0.0,1.91806133621659e-05,1.326519250869751
0.89,0.9062,20000.0,0.0,1.823385112413656e-05,1.3289282321929932
0.89,0.8914,20000.0,0.0,1.7656519736845445e-05,1.3372480869293213
0.86,0.8906,20000.0,0.0,1.828957997471282e-05,1.3347845077514648
