test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
0.92,0.9207,10.0,0.15000000000000002,0.0007338413748239,67.39438915252686
0.885,0.8916,10.0,0.15000000000000002,0.000829512753415,75.15231800079346
0.905,0.9202,10.0,0.15000000000000002,0.0008517434739694,76.99316215515137
0.88,0.8802,10.0,0.15000000000000002,0.0007535637244913,68.85070753097534
0.91,0.9102,10.0,0.15000000000000002,0.0007421228080004,67.67384576797485
0.9,0.9006,10.0,0.15000000000000002,0.0007367391136834,67.08424520492554
0.935,0.9371,10.0,0.15000000000000002,0.0007257633461524,65.7975685596466
0.88,0.8876,10.0,0.15000000000000002,0.0007611682292378,69.10595178604126
0.9,0.9014,10.0,0.15000000000000002,0.0006822803103047,61.49959111213684
0.885,0.8897,10.0,0.15000000000000002,0.0006615009926297,60.57738947868347
0.895,0.8954,10.0,0.15000000000000002,0.0007291870489138,66.56286716461182
0.895,0.8969,10.0,0.15000000000000002,0.000707651169282,63.802156925201416
0.9,0.9002,10.0,0.15000000000000002,0.0008066645353859,73.69577813148499
0.92,0.9242,10.0,0.15000000000000002,0.000881922829627,80.04878830909729
