test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
0.9288,0.929,10.0,0.05,0.0033547390175304,303.648631811142
0.9246,0.9246,11.0,0.05,0.0049319096954056,446.7822420597077
0.9362,0.9364,11.0,0.05,0.0054667126430726,495.2420570850372
0.9014,0.9015,10.0,0.05,0.0017494039294097,158.10315561294556
0.9207,0.9209,10.0,0.05,0.0026731293868952,242.2042667865753
0.9203,0.9204,12.0,0.05,0.0044081723642816,398.6256093978882
0.922,0.922,12.0,0.05,0.0045622248362717,413.0395019054413
0.9336,0.9336,10.0,0.05,0.0021870022744085,197.8990707397461
0.928,0.9285,10.0,0.05,0.0028517164935913,258.39699482917786
0.916,0.916,11.0,0.05,0.0036629085520501,331.19043612480164
0.928,0.928,11.0,0.05,0.0044142555318665,399.25482273101807
0.9233,0.9236,11.0,0.05,0.0037374157640158,339.15399146080017
0.9181,0.9185,10.0,0.05,0.0020240916216015,183.41213250160217
0.9254,0.9255,13.0,0.05,0.0043522982647,393.6724457740784
