test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
0.9014,0.9014,10.0,0.15000000000000002,0.0007774452363143,70.57669973373413
0.9061,0.9061,10.0,0.15000000000000002,0.0010212359219997,92.8559877872467
0.916,0.916,10.0,0.15000000000000002,0.0008511155199229,77.17916989326477
0.9053,0.9054,10.0,0.15000000000000002,0.0006994254830887,63.36849117279053
0.916,0.916,10.0,0.15000000000000002,0.0008576733573299,77.65883255004883
0.9066,0.9071,10.0,0.15000000000000002,0.0009462803916375,86.147869348526
0.9074,0.9074,10.0,0.15000000000000002,0.0009516395229191,85.92362809181213
0.9027,0.9027,10.0,0.15000000000000002,0.0008962737516444,80.86959648132324
0.9057,0.9057,10.0,0.15000000000000002,0.0007756169697959,70.91710257530212
0.9006,0.9006,10.0,0.15000000000000002,0.0008604658454598,78.29648160934448
0.9126,0.9133,10.0,0.15000000000000002,0.0008625238868236,78.44978094100952
0.913,0.9134,10.0,0.15000000000000002,0.0008731701143682,79.78429245948792
0.91,0.9104,10.0,0.15000000000000002,0.0008661126616499,78.63170146942139
0.9048,0.9049,10.0,0.15000000000000002,0.0011361970872678,102.75735998153688
