test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
1.0,1.0,47.0,0.25,0.0006436361768844,58.720338344573975
0.9167,0.9091,58.0,0.25,0.0008642486275128,78.67247462272644
1.0,1.0,27.0,0.25,0.0008351739178858,76.1576783657074
0.9167,0.9062,24.0,0.25,0.0010141732533684,91.91534376144408
0.9583,0.95,38.0,0.25,0.0007368519659532,67.77095031738281
0.9583,0.9444,83.0,0.25,0.0005507993581709,49.98090958595276
0.9583,0.9444,61.0,0.25,0.0006570755582697,60.07530999183655
1.0,1.0,75.0,0.25,0.0006065176284356,55.25146508216858
0.9583,0.9444,57.0,0.25,0.0006592397196829,59.77554154396057
0.9583,0.9706,51.0,0.25,0.0006186903207772,56.450031757354736
0.9583,0.95,57.0,0.25,0.0006976401537523,63.53217744827271
1.0,1.0,39.0,0.25,0.0007764687236141,70.85795283317566
0.9583,0.9444,103.0,0.25,0.0005248295956197,48.17384433746338
0.9583,0.9688,73.0,0.25,0.0006303506437002,57.41772103309631
