test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
1.0,1.0,43.0,0.1,0.0011788347277757,82.20969295501709
0.9167,0.9091,39.0,0.1,0.0014644423251594,102.54393887519836
1.0,1.0,37.0,0.1,0.0012139970461672,84.15036153793335
0.9583,0.9444,19.0,0.1,0.0012706247868858,95.17818450927734
0.9583,0.95,35.0,0.1,0.0008106817001644,74.00526714324951
0.9583,0.9444,38.0,0.1,0.000716131436691,65.54398345947266
1.0,1.0,29.0,0.1,0.0008703833859933,79.41594123840332
1.0,1.0,54.0,0.1,0.0008330564859297,75.66072106361389
1.0,1.0,61.0,0.1,0.0006348577463208,58.373050928115845
0.9583,0.9706,28.0,0.1,0.0006756797286336,60.96708559989929
0.9583,0.95,66.0,0.1,0.0006363748351902,58.23816251754761
1.0,1.0,27.0,0.1,0.00084016091757,76.49551701545715
0.9583,0.9444,57.0,0.1,0.000768474507653,70.38919925689697
0.9583,0.9688,23.0,0.1,0.0010126706986241,91.73104310035706
