test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
0.9833,0.9902,31.0,0.2,0.0012305700366264,112.11565279960632
1.0,1.0,31.0,0.2,0.0010932355058008,99.58243417739868
1.0,1.0,32.0,0.2,0.0011440716922956,103.5373032093048
0.9667,0.9808,44.0,0.2,0.001431930001387,130.31161046028137
1.0,1.0,29.0,0.2,0.001067157916527,96.82565307617188
0.9836,0.9902,37.0,0.2,0.0014207445740175,129.5200581550598
1.0,1.0,46.0,0.2,0.0010579480215648,96.12329077720642
0.9833,0.9902,40.0,0.2,0.0010637756452154,97.1834352016449
0.9836,0.9902,61.0,0.2,0.0010890482230554,99.22680950164796
1.0,1.0,39.0,0.2,0.0009956671044643,90.30338263511658
1.0,1.0,26.0,0.2,0.0012912605658066,116.93577361106873
1.0,1.0,35.0,0.2,0.0012167474861795,110.57255697250366
1.0,1.0,19.0,0.2,0.00133504585402,121.31941437721252
0.9833,0.9902,47.0,0.2,0.0009401143765472,85.63391947746277
