test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
1.0,1.0,37.0,0.2,0.0014350459854032,125.7986958026886
1.0,1.0,39.0,0.2,0.0012806104063834,114.41169929504396
1.0,1.0,31.0,0.2,0.0018911418583124,168.95861768722534
0.9833,0.9902,60.0,0.2,0.0016832739247493,147.32425951957703
1.0,1.0,33.0,0.2,0.001470322503609,129.0619571208954
0.9836,0.9902,44.0,0.2,0.0015471700885257,135.90305423736572
1.0,1.0,22.0,0.2,0.0022464808247521,199.88436317443848
0.9833,0.9902,42.0,0.2,0.0018061792751223,159.9131212234497
0.9836,0.9902,42.0,0.2,0.0020570462897207,181.5223891735077
0.9833,0.9902,33.0,0.2,0.0014745993093438,131.10123801231384
1.0,1.0,25.0,0.2,0.0017984071717835,159.4582576751709
1.0,1.0,35.0,0.2,0.0018846619323625,165.33823680877686
1.0,1.0,35.0,0.2,0.0013132541345373,114.55447340011597
0.9833,0.9902,36.0,0.2,0.0016457370999413,144.37553238868713
