test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
1.0,1.0,23.0,0.25,0.0008977281153413,81.32555961608887
1.0,1.0,17.0,0.25,0.0009505075639146,86.79399371147156
1.0,1.0,23.0,0.25,0.0008958044142809,81.13149881362915
0.9667,0.9808,23.0,0.25,0.0010772273058089,98.06414580345154
1.0,1.0,11.0,0.25,0.0010967521332679,99.50450992584229
1.0,1.0,19.0,0.25,0.0009437470041157,85.64320039749146
1.0,1.0,21.0,0.25,0.0010432220835743,94.40822696685792
0.9833,0.9902,22.0,0.25,0.0009296525626843,84.30741310119629
0.9836,0.9902,24.0,0.25,0.0010658667790798,96.95655155181883
0.9833,0.9902,17.0,0.25,0.0009325205766856,84.652272939682
1.0,1.0,18.0,0.25,0.0008640390602382,77.78217697143555
1.0,1.0,20.0,0.25,0.0010238175398611,92.56671595573424
1.0,1.0,19.0,0.25,0.0008654552981597,78.10949802398682
0.9833,0.9902,25.0,0.25,0.0008729984505184,78.81554436683655
