test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
0.9833,0.9902,13.0,0.1,0.0015289711606753,139.61912631988525
1.0,1.0,15.0,0.1,0.0015306946795269,139.96118354797363
1.0,1.0,13.0,0.1,0.001666759966688,151.319828748703
0.9667,0.9808,18.0,0.1,0.001602903311705,145.7901575565338
1.0,1.0,16.0,0.1,0.001535023616215,140.1585774421692
0.9672,0.9808,13.0,0.1,0.0013615509461799,123.96482682228088
1.0,1.0,14.0,0.1,0.0014184249953367,129.14589476585388
0.9833,0.9902,16.0,0.1,0.0015837341762072,144.005291223526
0.9836,0.9902,18.0,0.1,0.0016655231175473,151.90992951393127
0.9833,0.9902,13.0,0.1,0.0014278548751973,129.94818878173828
1.0,1.0,11.0,0.1,0.0014563075967119,132.85010051727295
0.9836,0.9902,11.0,0.1,0.0017676618644023,160.9893867969513
1.0,1.0,24.0,0.1,0.0010493348825117,96.30045866966248
0.9833,0.9902,13.0,0.1,0.0014938956052699,136.2827296257019
