test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
0.9333,0.9444,513.0,0.05,0.0005925579626856,53.84550714492798
0.9333,0.9375,478.0,0.05,0.0005189686808639,47.63337349891663
0.8667,0.8661,557.0,0.05,0.0004324082819156,39.764387130737305
0.8667,0.8661,494.0,0.05,0.0006153576213471,56.22084903717041
0.9333,0.9375,586.0,0.05,0.0005738747405848,52.58320236206055
0.9333,0.9444,516.0,0.05,0.0004808334388043,43.79285788536072
0.9333,0.9444,413.0,0.05,0.0005568869508621,51.18949317932129
0.9333,0.9444,625.0,0.05,0.0005085961595049,46.05799508094788
0.9333,0.9444,531.0,0.05,0.0004900863702915,45.19713306427002
0.9333,0.9375,520.0,0.05,0.0005944489536661,54.4323787689209
0.9333,0.9444,496.0,0.05,0.0007107880138803,64.72632002830505
0.8,0.8636,515.0,0.05,0.0005859972249203,53.55493474006653
1.0,1.0,519.0,0.05,0.0006223496260488,56.69702482223511
1.0,1.0,456.0,0.05,0.0006296714126447,57.512534618377686
