test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
1.0,1.0,1389.0,0.05,0.0008155603895161,73.67297697067261
0.8667,0.8661,1130.0,0.05,0.000640502353193,58.515846252441406
0.8667,0.8661,1274.0,0.05,0.0008161876073762,73.52572846412659
0.8,0.8036,1257.0,0.05,0.0007282951030774,66.09078335762024
1.0,1.0,1132.0,0.05,0.0011199226397936,101.14283037185668
0.8667,0.9,1337.0,0.05,0.0007673444874113,69.65515327453613
0.9333,0.9375,1034.0,0.05,0.0009502509691786,86.59852480888367
0.9333,0.9444,1189.0,0.05,0.0010079172735222,91.168705701828
1.0,1.0,1220.0,0.05,0.0006937939223103,62.78092360496521
0.9333,0.9375,1310.0,0.05,0.0008241190995167,75.08215236663818
0.9333,0.9444,1372.0,0.05,0.0006273167399417,56.79558849334717
0.8667,0.9,1356.0,0.05,0.0006934787190729,63.1983323097229
1.0,1.0,1279.0,0.05,0.0007568684318939,68.26894497871399
1.0,1.0,935.0,0.05,0.0010496018830703,94.8834011554718
