test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
0.9333,0.9444,40.0,0.25,0.0005205753051312,47.17731595039368
0.9333,0.9375,52.0,0.25,0.0004576919262942,41.66258239746094
0.8,0.8056,98.0,0.25,0.0003901199795495,35.616190910339355
0.8667,0.9,33.0,0.25,0.000525840365533,47.75595736503601
0.9333,0.9375,58.0,0.25,0.0004620837948401,41.79483366012573
0.9333,0.9444,45.0,0.25,0.0005856098632782,53.27708005905152
0.8,0.8036,78.0,0.25,0.0004230848118074,38.61987924575806
0.9333,0.9375,54.0,0.25,0.0004528867940352,40.272178411483765
0.7333,0.75,49.0,0.25,0.0005353171792264,48.78838443756104
0.8667,0.8661,36.0,0.25,0.0005262608193999,47.62613487243652
0.8,0.8056,26.0,0.25,0.0006197528420984,56.57610964775085
0.8,0.8636,66.0,0.25,0.0004626140391623,42.008925437927246
0.8667,0.9,50.0,0.25,0.0005111877175944,45.82854461669922
0.9333,0.9444,36.0,0.25,0.0005278602298405,48.10882759094238
