test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
1.0,1.0,60.0,0.25,0.0005745861407219,52.33332943916321
0.8667,0.9,89.0,0.25,0.0005106080409023,47.113149642944336
0.8667,0.8661,62.0,0.25,0.0005402752629637,48.98056173324585
0.8667,0.8661,100.0,0.25,0.0003778780177257,34.96891379356384
0.9333,0.9375,62.0,0.25,0.0006415077449712,58.8331184387207
0.8667,0.9,82.0,0.25,0.0005989732289659,54.70704197883606
0.9333,0.9375,79.0,0.25,0.0005360742593192,49.35190033912659
0.9333,0.9444,106.0,0.25,0.0004991812377108,45.72832751274109
0.8667,0.8661,100.0,0.25,0.0004365608459382,40.38009309768677
1.0,1.0,113.0,0.25,0.0003600859163746,32.61038589477539
0.8,0.8056,45.0,0.25,0.0005997984476929,54.57784223556519
0.8667,0.9,94.0,0.25,0.0004419728367528,40.72294616699219
0.9333,0.9444,47.0,0.25,0.0006363011850116,58.40182328224182
0.8667,0.9,63.0,0.25,0.0005642739855622,51.10895824432373
