test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
1.0,1.0,698.0,0.1,0.0001998551337165,16.123159408569336
1.0,1.0,629.0,0.1,0.0001978816202941,15.87350869178772
0.8667,0.8661,655.0,0.1,0.0001947358479848,15.573421478271484
0.8,0.8036,685.0,0.1,0.0002014796506577,16.170040130615234
0.9333,0.9375,783.0,0.1,0.0001906387858926,15.438263416290283
0.8667,0.9,766.0,0.1,0.0001941531596667,15.404653072357178
0.8667,0.8889,576.0,0.1,0.0001918958435212,15.45112156867981
0.9333,0.9444,795.0,0.1,0.0001900318150647,15.39628529548645
0.8667,0.8889,663.0,0.1,0.0001908903827895,15.367650508880615
1.0,1.0,737.0,0.1,0.0001929163410948,15.36966061592102
0.9333,0.9444,716.0,0.1,0.0001930847253449,15.432928323745728
0.8,0.8636,678.0,0.1,0.000191370491931,15.430401086807253
0.9333,0.9375,792.0,0.1,0.0001920366067713,15.439228773117064
0.9333,0.9444,843.0,0.1,0.0001900851026001,15.42310905456543
1.0,1.0,703.0,0.1,0.0001954292434062,15.447486877441406
0.9333,0.9375,794.0,0.1,0.0001901402110619,15.406360626220703
1.0,1.0,693.0,0.1,0.000202543150514,16.252278566360474
0.8667,0.9,645.0,0.1,0.0001945033905811,15.827315092086792
0.7333,0.75,672.0,0.1,0.0001965120323606,15.553704261779783
0.9333,0.9444,775.0,0.1,0.0001924909821826,15.439031839370728
0.9333,0.9444,721.0,0.1,0.0001916792025108,15.491671800613403
1.0,1.0,793.0,0.1,0.0001899549023138,15.355047941207886
0.9333,0.9375,613.0,0.1,0.000192994704571,15.433569192886353
1.0,1.0,636.0,0.1,0.0001880810801522,15.44343900680542
1.0,1.0,723.0,0.1,0.0001895129482477,15.399552583694458
1.0,1.0,913.0,0.1,0.0001893211851012,15.39430570602417
0.8667,0.8889,770.0,0.1,0.0001918418159605,15.402210474014282
0.9333,0.9444,676.0,0.1,0.0001943884176565,15.425174474716188
1.0,1.0,736.0,0.1,0.0001903010480692,15.409990549087524
1.0,1.0,717.0,0.1,0.0001905500937987,15.371547937393188
1.0,1.0,798.0,0.1,0.0001946814784262,15.405124425888062
0.8667,0.8661,782.0,0.1,0.0001908823523057,15.487602949142456
0.8667,0.8661,744.0,0.1,0.0001916227496178,15.574421882629396
0.9333,0.9375,732.0,0.1,0.0001928486335288,15.467079639434814
0.9333,0.9444,674.0,0.1,0.0001962571689814,15.725736141204834
0.9333,0.9444,712.0,0.1,0.0001955948603151,15.41534972190857
0.9333,0.9375,710.0,0.1,0.000198051383701,15.87429404258728
1.0,1.0,821.0,0.1,0.0001930873594419,15.440598249435425
1.0,1.0,684.0,0.1,0.0001927832737499,15.400261163711548
1.0,1.0,662.0,0.1,0.000192111521644,15.457980632781982
0.8667,0.8661,698.0,0.1,0.0001909823118187,15.498817205429075
1.0,1.0,723.0,0.1,0.0001903608559043,15.45237112045288
0.9333,0.9375,731.0,0.1,0.0001922538841029,15.446834564208984
1.0,1.0,720.0,0.1,0.0001908535063658,15.392185926437378
