test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
0.5236,0.5309,500.0,0.05,0.0011318038669348,103.6065435409546
0.5589,0.5609,500.0,0.05,0.0011016702448636,100.25130367279051
0.5513,0.5561,500.0,0.05,0.0011022856001993,100.3085265159607
0.5133,0.5304,500.0,0.05,0.0011348587676825,103.17660522460938
0.5427,0.5467,500.0,0.05,0.0011070666666574,100.48872709274292
0.5663,0.5737,500.0,0.05,0.0010964168353508,99.95750403404236
0.5409,0.5867,500.0,0.05,0.0011365425251308,103.32484269142152
0.5439,0.5441,500.0,0.05,0.0010832848835528,98.36664843559264
0.5755,0.6157,500.0,0.05,0.0011059667308879,100.93259239196776
0.5421,0.5452,500.0,0.05,0.0011402508597035,103.60665559768675
0.5381,0.5392,500.0,0.05,0.0011082967227181,100.90279078483582
0.579,0.5811,500.0,0.05,0.0011005298572703,100.10446119308472
0.526,0.5264,500.0,0.05,0.0011255853707036,101.94469976425172
0.545,0.5451,500.0,0.05,0.0011097383627749,100.75089192390442
