test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
0.5663,0.5664,268.0,0.2,0.0002269626227376,21.156534433364868
0.5589,0.5593,263.0,0.2,0.00023382020816,21.45305633544922
0.5744,0.5745,273.0,0.2,0.0002294651745415,21.45203256607056
0.5698,0.5698,263.0,0.2,0.0002307423787102,21.508992671966556
0.5647,0.565,273.0,0.2,0.0002302077171381,21.27410078048706
0.5779,0.5779,270.0,0.2,0.0002451458810396,22.697567462921143
0.5755,0.5759,265.0,0.2,0.000246739163027,22.400264739990234
0.5554,0.5556,264.0,0.2,0.0002291919348427,21.23764395713806
0.5779,0.5779,271.0,0.2,0.0002398086244918,22.222849369049072
0.5571,0.5573,266.0,0.2,0.0002272878283115,20.744564533233643
0.5693,0.5694,261.0,0.2,0.0002341614759468,21.101804733276367
0.5571,0.5571,276.0,0.2,0.0002304788162289,21.24665355682373
0.5686,0.5687,275.0,0.2,0.0002291353583977,21.284252405166622
0.5693,0.5693,262.0,0.2,0.000227967873345,21.241212606430054
0.5363,0.5364,269.0,0.2,0.0002303462547596,21.295398235321045
0.5779,0.5779,263.0,0.2,0.0002344181253993,21.194929599761963
0.597,0.5972,249.0,0.2,0.0002342862445326,21.65205669403076
0.5467,0.5468,277.0,0.2,0.0002238902093253,20.77340149879456
0.5709,0.5713,263.0,0.2,0.0002397181120725,22.401344299316406
0.5543,0.5543,243.0,0.2,0.0002360609334939,22.05640959739685
0.5698,0.5702,267.0,0.2,0.0002355614919703,21.50884222984314
0.5663,0.5664,276.0,0.2,0.0002320271118111,21.710952043533325
0.5901,0.5901,248.0,0.2,0.0002277492705039,21.05567979812622
0.579,0.579,249.0,0.2,0.0002300937515361,21.355737686157227
0.5571,0.5572,266.0,0.2,0.0002269471011705,21.0774827003479
0.5543,0.5543,287.0,0.2,0.000237969443504,21.57965397834778
0.5732,0.5732,266.0,0.2,0.0002219165481363,20.78523731231689
0.5294,0.5295,267.0,0.2,0.0002267781066355,20.69715189933777
0.545,0.545,269.0,0.2,0.0002282543025987,21.31828999519348
0.5444,0.5444,269.0,0.2,0.0002267711161351,20.52071738243103
0.5456,0.5456,260.0,0.2,0.0002283228401756,21.014179944992065
0.5312,0.5312,267.0,0.2,0.0002446428366058,22.493314266204838
0.5686,0.5689,258.0,0.2,0.0002383144928264,22.04094791412353
0.5617,0.5617,268.0,0.2,0.0002333815991925,21.48941111564636
0.5404,0.5407,265.0,0.2,0.0002263861962224,20.56735873222351
0.5744,0.5744,264.0,0.2,0.0002258379463109,21.07038903236389
0.5582,0.5584,270.0,0.2,0.0002273349931706,21.0570228099823
0.5624,0.5624,252.0,0.2,0.0002291258452541,21.122154712677
0.5582,0.5583,263.0,0.2,0.0002297063984225,21.227879285812374
0.5652,0.5652,272.0,0.2,0.0002356000846503,21.464516401290894
0.5751,0.5751,268.0,0.2,0.0002277454607945,21.20180320739746
0.5421,0.5421,255.0,0.2,0.0002257930039984,20.76385998725891
0.5675,0.5675,262.0,0.2,0.0002274804673125,21.129892349243164
0.5577,0.5577,266.0,0.2,0.0002376672721695,22.074010610580444
