timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue,accuracy,feature_mask
2024-11-23T15:00:50,codecarbon,667434fe-b3ae-4f0c-b8f8-a0e84f95862d,36.1683509349823,0.000451368551681,1.2479655279072484e-05,62.5,124.90732472529068,23.472607612609867,0.0006279194230834,0.0012123115254039,0.0002357712577341,0.0020760022062215,Spain,ESP,galicia,,,Linux-5.15.0-126-generic-x86_64-with-glibc2.31,3.10.0,2.3.5,16,11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,1,1 x NVIDIA GeForce RTX 3090,-8.4096,43.3699,62.59362030029297,machine,N,1.0,1.0,9
2024-11-23T15:12:56,codecarbon,b3cc8547-db93-458d-a5ec-1ab09010a7fe,37.12303423881531,0.0004605807657171,1.240687285296147e-05,62.5,127.09362414379656,23.472607612609867,0.0006444945683081,0.0012318745966104,0.000242003243196,0.0021183724081147,Spain,ESP,galicia,,,Linux-5.15.0-126-generic-x86_64-with-glibc2.31,3.10.0,2.3.5,16,11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,1,1 x NVIDIA GeForce RTX 3090,-8.4096,43.3699,62.59362030029297,machine,N,1.0,0.9833984375,9
2024-11-23T15:24:14,codecarbon,2e7d44af-5f59-4d59-a7b4-93f4de8f6d6f,38.67663908004761,0.0004814739980238,1.2448703131296464e-05,62.5,126.04979335185676,23.472607612609867,0.0006714669490853,0.0012908788104799,0.0002521219485038,0.0022144677080691,Spain,ESP,galicia,,,Linux-5.15.0-126-generic-x86_64-with-glibc2.31,3.10.0,2.3.5,16,11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,1,1 x NVIDIA GeForce RTX 3090,-8.4096,43.3699,62.59362030029297,machine,N,1.0,1.0,10
2024-11-23T15:35:59,codecarbon,1da0460b-518e-4229-bf5e-b94b17548d38,36.5284378528595,0.0004599141369273,1.2590577751501574e-05,62.5,117.99081055763692,23.472607612609867,0.0006341718716753,0.0012430318277583,0.0002381026491755,0.0021153063486092,Spain,ESP,galicia,,,Linux-5.15.0-126-generic-x86_64-with-glibc2.31,3.10.0,2.3.5,16,11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,1,1 x NVIDIA GeForce RTX 3090,-8.4096,43.3699,62.59362030029297,machine,N,1.0,1.0,10
2024-11-23T15:47:46,codecarbon,345c5efd-49ce-44dc-9499-6b4e87354843,35.09860968589783,0.000425550178965,1.2124416971879858e-05,62.5,114.69532114851964,23.472607612609867,0.0006093481596973,0.001119101728614,0.0002288045705984,0.0019572544589097,Spain,ESP,galicia,,,Linux-5.15.0-126-generic-x86_64-with-glibc2.31,3.10.0,2.3.5,16,11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,1,1 x NVIDIA GeForce RTX 3090,-8.4096,43.3699,62.59362030029297,machine,N,1.0,1.0,9
2024-11-23T16:00:15,codecarbon,c19d876c-8da6-4541-83e7-0e74d83815d3,36.516433000564575,0.0004521824930969,1.2382986396560838e-05,62.5,125.44373469185076,23.472607612609867,0.0006339632305834,0.0012077592995396,0.0002380232780146,0.0020797458081377,Spain,ESP,galicia,,,Linux-5.15.0-126-generic-x86_64-with-glibc2.31,3.10.0,2.3.5,16,11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,1,1 x NVIDIA GeForce RTX 3090,-8.4096,43.3699,62.59362030029297,machine,N,1.0,0.96728515625,10
2024-11-23T16:12:19,codecarbon,17c4951a-3e5e-4d62-b223-6f96aa1288ce,39.14526677131653,0.0004864061306897,1.242566907338482e-05,62.5,116.80826914525456,23.472607612609867,0.000679602333241,0.0013023610418878,0.000255188940137,0.0022371523152659,Spain,ESP,galicia,,,Linux-5.15.0-126-generic-x86_64-with-glibc2.31,3.10.0,2.3.5,16,11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,1,1 x NVIDIA GeForce RTX 3090,-8.4096,43.3699,62.59362030029297,machine,N,1.0,1.0,10
2024-11-23T16:24:13,codecarbon,30a7a4b2-5110-4554-bbb6-bbba812dfd7f,37.6744589805603,0.0004516117521783,1.1987212674013478e-05,62.5,109.5324312285262,23.472607612609867,0.0006540674716234,0.00117745510863,0.0002455981903141,0.0020771207705677,Spain,ESP,galicia,,,Linux-5.15.0-126-generic-x86_64-with-glibc2.31,3.10.0,2.3.5,16,11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,1,1 x NVIDIA GeForce RTX 3090,-8.4096,43.3699,62.59362030029297,machine,N,1.0,1.0,10
2024-11-23T16:36:11,codecarbon,cfaf9f31-aa22-4901-b29d-4d719fd20788,36.29994201660156,0.000453312539628,1.2487968697602312e-05,62.5,116.31585964217282,23.472607612609867,0.0006302048514286,0.0012181184744939,0.0002366199623743,0.0020849432882969,Spain,ESP,galicia,,,Linux-5.15.0-126-generic-x86_64-with-glibc2.31,3.10.0,2.3.5,16,11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,1,1 x NVIDIA GeForce RTX 3090,-8.4096,43.3699,62.59362030029297,machine,N,1.0,0.96728515625,10
2024-11-23T14:28:01,codecarbon,0d791a0a-10ad-4557-91b1-545f976992cf,36.884464263916016,0.0004472512887532,1.2125736341268971e-05,62.5,118.14641087626148,23.472607612609867,0.0006403531009952,0.001176261496564,0.000240450873061,0.0020570654706202,Spain,ESP,galicia,,,Linux-5.15.0-126-generic-x86_64-with-glibc2.31,3.10.0,2.3.5,16,11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,1,1 x NVIDIA GeForce RTX 3090,-8.4096,43.3699,62.59362030029297,machine,N,1.0,0.96728515625,10
