test_acc,balanced_acc,nfeat,max_alpha,emissions,duration
0.9048,0.899,22.0,0.5,0.0004308388755895,39.52303957939148
0.9,0.8901,15.0,0.5,0.0004338759287744,39.699421644210815
0.9048,0.8889,14.0,0.5,0.0004340342527231,40.04970812797546
0.8095,0.7981,16.0,0.5,0.0004364976323712,39.70617723464966
1.0,1.0,21.0,0.5,0.0004304977374975,39.680747270584106
0.8095,0.8062,23.0,0.5,0.0004321920588938,39.89019227027893
0.8571,0.8472,15.0,0.5,0.0004508326923773,40.68185424804688
0.8,0.8,10.0,0.5,0.0004259393720946,39.52465057373047
0.8095,0.7917,13.0,0.5,0.0004351036181202,39.63865733146668
0.8095,0.8824,22.0,0.5,0.0004265158312133,39.40815949440002
0.85,0.8333,15.0,0.5,0.0004230629639496,38.61438608169556
0.8571,0.85,16.0,0.5,0.000427089895729,39.24830508232117
0.8571,0.8571,21.0,0.5,0.0004260159426032,39.21787524223328
0.85,0.8452,13.0,0.5,0.0004282813002813,38.88038754463196
0.9048,0.8929,13.0,0.5,0.0004477904064622,41.55201625823975
0.8571,0.8636,21.0,0.5,0.0004447973379388,40.54250931739807
0.85,0.8452,12.0,0.5,0.0004250049526028,39.007572889328
0.8095,0.8889,23.0,0.5,0.0004343457871293,39.84303593635559
0.8095,0.7981,14.0,0.5,0.0004391827402745,40.1212158203125
0.85,0.85,18.0,0.5,0.0004384868835387,40.26849842071533
0.8571,0.85,16.0,0.5,0.0004310818447753,39.59752583503723
1.0,1.0,14.0,0.5,0.0004464706742898,40.65969967842102
0.75,0.7262,19.0,0.5,0.0004290626903464,39.28231310844421
0.8571,0.85,12.0,0.5,0.0004325291889569,39.48239421844482
0.8095,0.7981,16.0,0.5,0.0004271866133727,39.30905795097351
0.85,0.8452,15.0,0.5,0.0004208129920584,38.521376609802246
0.8095,0.7917,27.0,0.5,0.0004301388905534,39.211735010147095
0.7143,0.7091,10.0,0.5,0.0004242923917275,39.22743558883667
0.9,0.9333,14.0,0.5,0.000438341489411,39.939350605010986
