test_acc,nfeat,max_alpha,emissions
0.6923,1638.0,0.5,0.0001404953646566
0.7692,1662.0,0.5,0.0001321508476479
0.6923,1569.0,0.5,0.0001391912508462
0.7692,1651.0,0.5,0.0001349419936623
0.7692,1723.0,0.5,0.0001299805276973
0.7692,1590.0,0.5,0.0001392282508084
0.7692,1640.0,0.5,0.0001312054886097
0.7692,1634.0,0.5,0.0001471757613315
0.7692,1672.0,0.5,0.0001394056094558
0.6923,1561.0,0.5,0.0001431889994443
0.6923,1636.0,0.5,0.0001357644113089
0.7692,1587.0,0.5,0.000137105789194
0.7692,1638.0,0.5,0.0001409316593445
0.7692,1587.0,0.5,0.0001360632627459
0.7692,1687.0,0.5,0.0001380810795799
0.7692,1540.0,0.5,0.0001483747486019
0.6923,1705.0,0.5,0.0001415558224387
0.7692,1697.0,0.5,0.0001444246001162
0.6923,1772.0,0.5,0.0001440518630381
0.7692,1596.0,0.5,0.0001381418156782
